URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,0.99999980000004,0.048076922614644975,17.333333333333332,0.40384615384615385,7.0948717948717945,17.333333333333332,42,104,2.269230769230769,1,7.490384615384615
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,9,7,0.12499999218750048,0.04519773998531712,9.833333333333334,0.3248587570621469,4.063276836158193,9.833333333333334,115,354,2.194915254237288,7,6.901129943502825
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.6666666111111158,0.08695652110901071,17.25,0.2608695652173913,7.004347826086956,17.25,36,138,2.101449275362319,1,6.739130434782608
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,11,0.35294116608996573,0.09470752062755565,13.296296296296296,0.5376044568245125,5.533560301248324,13.296296296296296,193,359,2.5766016713091924,4,7.927576601671309
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,2,0,0.99999950000025,0.0199999998,11.11111111111111,0.37,4.592444444444444,11.11111111111111,37,100,2.37,1,7.15
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,0.99999980000004,0.048076922614644975,17.333333333333332,0.40384615384615385,7.0948717948717945,17.333333333333332,42,104,2.269230769230769,1,7.490384615384615
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,9,7,0.12499999218750048,0.04519773998531712,9.833333333333334,0.3248587570621469,4.063276836158193,9.833333333333334,115,354,2.194915254237288,7,6.901129943502825
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.6666666111111158,0.08695652110901071,17.25,0.2608695652173913,7.004347826086956,17.25,36,138,2.101449275362319,1,6.739130434782608
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,11,0.35294116608996573,0.09470752062755565,13.296296296296296,0.5376044568245125,5.533560301248324,13.296296296296296,193,359,2.5766016713091924,4,7.927576601671309
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,21,0.4545454486422669,0.07468477199351621,10.31,0.5198836081474297,4.331953443258972,10.31,536,1031,2.6217264791464596,1,7.7953443258971875
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,18,6,0.4999999791666675,0.09022556357058059,12.090909090909092,0.5338345864661654,5.049897470950103,12.090909090909092,142,266,2.6766917293233083,1,7.87593984962406
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,27,2,0.8620689357907263,0.07712765936934134,14.461538461538462,0.5319148936170213,5.9973813420621935,14.461538461538462,200,376,2.6808510638297873,6,8.018617021276595
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,20,5,0.599999976000001,0.11520737274097985,12.055555555555555,0.4423963133640553,4.999180747567845,12.055555555555555,96,217,2.543778801843318,4,8.23041474654378
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,13,5,0.4444444197530878,0.07826086922495275,15.333333333333334,0.48695652173913045,6.328115942028987,15.333333333333334,112,230,2.5869565217391304,5,8.078260869565218
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,59,16,0.5733333256888891,0.09541984720684497,11.909090909090908,0.4821882951653944,4.956511681702522,11.909090909090908,379,786,2.5063613231552164,10,7.695928753180661
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,6,0,0.9999998333333611,0.036363636143250694,11.785714285714286,0.40606060606060607,4.876709956709957,11.785714285714286,67,165,2.375757575757576,1,7.266666666666667
